Freq.	V(out_preamp)
2.05589059598411e+00	(-5.74727819136716e+00dB,-1.79990078034100e+02°)
2.06062991326997e+00	(-5.74727819062300e+00dB,-1.79990055161607e+02°)
2.06538015581050e+00	(-5.74727818987539e+00dB,-1.79990032236388e+02°)
2.07014134879101e+00	(-5.74727818912434e+00dB,-1.79990009258320e+02°)
2.07491351745488e+00	(-5.74727818836982e+00dB,-1.79989986227283e+02°)
2.07969668710366e+00	(-5.74727818761182e+00dB,-1.79989963143153e+02°)
2.08449088309726e+00	(-5.74727818685031e+00dB,-1.79989940005809e+02°)
2.08929613085401e+00	(-5.74727818608530e+00dB,-1.79989916815128e+02°)
2.09411245585086e+00	(-5.74727818531675e+00dB,-1.79989893570987e+02°)
2.09893988362349e+00	(-5.74727818454466e+00dB,-1.79989870273263e+02°)
2.10377843976644e+00	(-5.74727818376900e+00dB,-1.79989846921832e+02°)
2.10862814993326e+00	(-5.74727818298976e+00dB,-1.79989823516570e+02°)
2.11348903983661e+00	(-5.74727818220693e+00dB,-1.79989800057354e+02°)
2.11836113524847e+00	(-5.74727818142048e+00dB,-1.79989776544058e+02°)
2.12324446200018e+00	(-5.74727818063040e+00dB,-1.79989752976559e+02°)
2.12813904598268e+00	(-5.74727817983667e+00dB,-1.79989729354731e+02°)
2.13304491314654e+00	(-5.74727817903928e+00dB,-1.79989705678449e+02°)
2.13796208950220e+00	(-5.74727817823821e+00dB,-1.79989681947588e+02°)
2.14289060112002e+00	(-5.74727817743344e+00dB,-1.79989658162021e+02°)
2.14783047413050e+00	(-5.74727817662496e+00dB,-1.79989634321623e+02°)
2.15278173472434e+00	(-5.74727817581274e+00dB,-1.79989610426268e+02°)
2.15774440915263e+00	(-5.74727817499678e+00dB,-1.79989586475827e+02°)
2.16271852372698e+00	(-5.74727817417705e+00dB,-1.79989562470176e+02°)
2.16770410481966e+00	(-5.74727817335353e+00dB,-1.79989538409185e+02°)
2.17270117886371e+00	(-5.74727817252622e+00dB,-1.79989514292729e+02°)
2.17770977235312e+00	(-5.74727817169509e+00dB,-1.79989490120678e+02°)
2.18272991184296e+00	(-5.74727817086012e+00dB,-1.79989465892904e+02°)
2.18776162394952e+00	(-5.74727817002129e+00dB,-1.79989441609280e+02°)
2.19280493535041e+00	(-5.74727816917860e+00dB,-1.79989417269677e+02°)
2.19785987278479e+00	(-5.74727816833201e+00dB,-1.79989392873965e+02°)
2.20292646305342e+00	(-5.74727816748152e+00dB,-1.79989368422015e+02°)
2.20800473301886e+00	(-5.74727816662710e+00dB,-1.79989343913697e+02°)
