Frequency [Hz], Amplitude [dB], Phase [deg]
307348.8569318537, 32.892769, -163.711929
310821.85175359924, 32.750504, 191.048981
314334.0908827819, 32.894936, -164.252777
317886.0177740409, 32.723473, -163.192215
321478.08089298574, 33.011261, -164.948639
325110.73377281666, 33.054077, -163.051498
328784.4350715894, 32.656475, -163.554825
332499.6486301267, 33.031464, -164.346725
336256.8435305811, 32.998371, -162.347992
340056.49415566004, 32.974022, -162.377991
343899.08024852263, 32.887428, -163.156616
347785.0869733532, 32.813339, -164.529327
351715.0049766161, 33.127319, -164.873611
355689.3304490061, 33.128719, -161.54866
359708.565188095, 33.09705, -164.898361
363773.21666168986, 33.016582, -163.82988
367883.79807190766, 33.020462, -163.718018
372040.8284199702, 32.993927, 188.221512
376244.8325717319, 33.192738, -164.003891
380496.3413239504, 33.013969, 187.585739
384795.8914713069, 33.060356, -162.562302
389144.025874179, 33.293076, -164.851349
393541.2935271839, 33.078384, -164.054367
397988.24962849205, 33.295162, 192.061966
402485.4556499278, 33.221466, -164.292358
407033.4794078623, 33.343891, -164.9879
411632.89513490454, 33.124424, -162.783585
416284.28355240205, 33.281338, 193.543365
420988.231943764, 33.202747, -162.079727
425745.3342286138, 33.388168, -164.033951
430556.19103777513, 33.157623, -165.480789
435421.409789106, 33.368004, -165.157196
440341.60476419254, 33.425442, -162.815323
445317.3971859104, 32.945755, -164.490173
450349.4152968571, 33.376846, -163.596634
455438.29443867604, 33.606213, -164.618195
