time	V(out_fs)
1.988230714453833e-08	7.979426e-01
1.990303410205359e-08	7.987628e-01
1.992376105956885e-08	7.995805e-01
1.994448801708410e-08	8.003956e-01
1.996521497459936e-08	8.012081e-01
1.998594193211462e-08	8.020180e-01
2.000666888962988e-08	8.028254e-01
2.002401608061919e-08	8.034990e-01
2.004136327160850e-08	8.041707e-01
2.005871046259780e-08	8.048406e-01
2.007605765358711e-08	8.055086e-01
2.009340484457642e-08	8.061748e-01
2.011075203556573e-08	8.068392e-01
2.012809922655504e-08	8.075017e-01
2.015671890630210e-08	8.085914e-01
2.019095409426532e-08	8.098871e-01
2.022950640557377e-08	8.113384e-01
2.026805871688222e-08	8.127805e-01
2.030661102819067e-08	8.142135e-01
2.034516333949912e-08	8.156372e-01
2.038371565080757e-08	8.170519e-01
2.042226796211601e-08	8.184573e-01
2.046082027342446e-08	8.198535e-01
2.055485161720559e-08	8.232205e-01
2.055685228409470e-08	8.232916e-01
2.056085361787293e-08	8.234335e-01
2.057428666698502e-08	8.239094e-01
2.058771971609711e-08	8.243843e-01
2.060115276520920e-08	8.248580e-01
2.061458581432128e-08	8.253306e-01
2.062801886343337e-08	8.258022e-01
2.064145191254546e-08	8.262727e-01
2.065488496165755e-08	8.267421e-01
2.065688562854285e-08	8.268119e-01
2.066888962985467e-08	8.272299e-01
2.095498494441754e-08	8.369321e-01
2.096098709682683e-08	8.371302e-01
2.100310097689956e-08	8.385134e-01
2.104521485697230e-08	8.398855e-01
2.108732873704503e-08	8.412464e-01
2.112944261711777e-08	8.425962e-01
2.117155649719050e-08	8.439348e-01
2.121367037726324e-08	8.452623e-01
2.125578425733597e-08	8.465786e-01
2.138044080677208e-08	8.504083e-01
2.140709425487742e-08	8.512151e-01
2.140713571190397e-08	8.512163e-01
2.140721862595706e-08	8.512188e-01
2.140738445406325e-08	8.512238e-01
2.140771611027561e-08	8.512338e-01
2.140837942270035e-08	8.512538e-01
2.140970604754983e-08	8.512938e-01
2.148144242395967e-08	8.534400e-01
2.155317880036952e-08	8.555535e-01
2.162491517677937e-08	8.576342e-01
2.169665155318921e-08	8.596822e-01
2.176838792959906e-08	8.616974e-01
2.184012430600891e-08	8.636798e-01
2.191186068241876e-08	8.656295e-01
2.247941265914529e-08	8.798910e-01
2.250447189404329e-08	8.804734e-01
2.250750250083361e-08	8.805436e-01
2.252250750250083e-08	8.808896e-01
2.265755251750584e-08	8.839415e-01
2.268556185395128e-08	8.845592e-01
2.271185633306207e-08	8.851351e-01
2.273815081217285e-08	8.857066e-01
2.276444529128364e-08	8.862736e-01
2.279073977039442e-08	8.868361e-01
2.281703424950521e-08	8.873941e-01
2.284332872861599e-08	8.879476e-01
2.286962320772678e-08	8.884966e-01
2.292478452407142e-08	8.896341e-01
2.297994584041605e-08	8.907520e-01
2.303510715676068e-08	8.918503e-01
2.309026847310532e-08	8.929290e-01
2.314542978944995e-08	8.939882e-01
2.320059110579458e-08	8.950278e-01
2.325575242213922e-08	8.960478e-01
2.326175290830575e-08	8.961576e-01
2.328951812001503e-08	8.966625e-01
2.331728333172431e-08	8.971624e-01
2.334504854343360e-08	8.976574e-01
2.337281375514288e-08	8.981474e-01
2.340057896685216e-08	8.986326e-01
2.342834417856144e-08	8.991128e-01
2.345610939027072e-08	8.995880e-01
2.345781927309103e-08	8.996172e-01
2.346807857001291e-08	8.997912e-01
2.356222991755918e-08	9.013586e-01
2.364803501169335e-08	9.027372e-01
2.373384010582751e-08	9.040686e-01
2.381964519996168e-08	9.053529e-01
2.390545029409584e-08	9.065900e-01
2.399125538823001e-08	9.077799e-01
2.407706048236417e-08	9.089228e-01
2.416286557649834e-08	9.100184e-01
2.422619936090654e-08	9.107970e-01
2.428953314531475e-08	9.115500e-01
2.435286692972296e-08	9.122775e-01
2.441620071413117e-08	9.129794e-01
2.447953449853937e-08	9.136559e-01
2.454286828294759e-08	9.143069e-01
2.460620206735579e-08	9.149323e-01
2.471223741247113e-08	9.159225e-01
2.481227075691166e-08	9.167914e-01
2.483999428410372e-08	9.170210e-01
2.486771781129578e-08	9.172457e-01
2.489544133848784e-08	9.174657e-01
2.492316486567990e-08	9.176808e-01
2.495088839287196e-08	9.178910e-01
2.497861192006402e-08	9.180964e-01
2.500633544725608e-08	9.182971e-01
2.500833611203734e-08	9.183114e-01
2.502034010072493e-08	9.183964e-01
2.503291572297644e-08	9.184847e-01
2.504549134522795e-08	9.185719e-01
2.505806696747946e-08	9.186582e-01
2.507064258973097e-08	9.187435e-01
2.508321821198248e-08	9.188279e-01
2.509579383423399e-08	9.189113e-01
2.510836945648549e-08	9.189937e-01
2.512037376132788e-08	9.190711e-01
2.531249575281312e-08	9.201909e-01
2.541107225592621e-08	9.206759e-01
2.553182361850068e-08	9.211869e-01
2.555847594332650e-08	9.212882e-01
2.555851950650217e-08	9.212884e-01
2.555860663285351e-08	9.212887e-01
2.555878088555619e-08	9.212893e-01
2.555912939096155e-08	9.212906e-01
2.555982640177227e-08	9.212932e-01
2.556122042339372e-08	9.212983e-01
2.561151947325762e-08	9.214754e-01
2.566181852312152e-08	9.216368e-01
2.571211757298542e-08	9.217826e-01
2.576241662284932e-08	9.219128e-01
2.581271567271322e-08	9.220275e-01
2.586301472257712e-08	9.221265e-01
2.591331377244101e-08	9.222099e-01
2.597766722342227e-08	9.222938e-01
2.604202067440352e-08	9.223524e-01
2.610637412538477e-08	9.223857e-01
2.617072757636602e-08	9.223939e-01
2.623508102734727e-08	9.223768e-01
2.629943447832852e-08	9.223344e-01
2.636378792930977e-08	9.222668e-01
2.638622397942171e-08	9.222374e-01
2.640866002953365e-08	9.222049e-01
2.643109607964559e-08	9.221693e-01
2.645353212975753e-08	9.221308e-01
2.647596817986947e-08	9.220892e-01
2.649840422998141e-08	9.220445e-01
2.652084028009335e-08	9.219969e-01
2.653341590053826e-08	9.219688e-01
2.654599152098317e-08	9.219398e-01
2.655856714142809e-08	9.219099e-01
2.657114276187300e-08	9.218791e-01
2.658371838231791e-08	9.218473e-01
2.659629400276282e-08	9.218145e-01
2.660886962320773e-08	9.217809e-01
2.663687895965415e-08	9.217017e-01
2.664773972276507e-08	9.216702e-01
2.665860048587599e-08	9.216379e-01
2.666946124898692e-08	9.216049e-01
2.668032201209784e-08	9.215711e-01
2.669118277520876e-08	9.215366e-01
2.670204353831969e-08	9.215013e-01
2.671290430143061e-08	9.214653e-01
2.672662316009824e-08	9.214187e-01
2.674034201876588e-08	9.213711e-01
2.675406087743351e-08	9.213224e-01
2.676777973610114e-08	9.212726e-01
2.678149859476877e-08	9.212218e-01
2.679521745343641e-08	9.211698e-01
2.680893631210404e-08	9.211168e-01
2.682094031366836e-08	9.210691e-01
2.683351593408034e-08	9.210185e-01
2.684609155449231e-08	9.209669e-01
2.685866717490429e-08	9.209144e-01
2.687124279531626e-08	9.208610e-01
2.688381841572823e-08	9.208067e-01
2.689639403614021e-08	9.207514e-01
2.690896965655218e-08	9.206952e-01
2.693697898008696e-08	9.205660e-01
2.697556145073263e-08	9.203813e-01
2.701414392137831e-08	9.201878e-01
2.705272639202399e-08	9.199854e-01
2.709130886266967e-08	9.197743e-01
2.712989133331535e-08	9.195544e-01
2.716847380396102e-08	9.193257e-01
2.720705627460670e-08	9.190882e-01
2.720906968989663e-08	9.190757e-01
2.722115018163622e-08	9.189992e-01
2.723419907638479e-08	9.189158e-01
2.724724797113337e-08	9.188315e-01
2.726029686588195e-08	9.187461e-01
2.727334576063053e-08	9.186598e-01
2.728639465537910e-08	9.185725e-01
2.729944355012768e-08	9.184842e-01
2.731249244487626e-08	9.183949e-01
2.739260231559388e-08	9.178245e-01
2.747271218631150e-08	9.172171e-01
2.755282205702912e-08	9.165728e-01
2.763293192774674e-08	9.158915e-01
2.771304179846436e-08	9.151734e-01
2.779315166918198e-08	9.144183e-01
2.787326153989960e-08	9.136263e-01
2.845748582860954e-08	9.067612e-01
2.846348782927642e-08	9.066808e-01
2.849121135616658e-08	9.063069e-01
2.851893488305673e-08	9.059288e-01
2.854665840994689e-08	9.055465e-01
2.857438193683705e-08	9.051600e-01
2.860210546372720e-08	9.047694e-01
2.862982899061736e-08	9.043745e-01
2.865755251750751e-08	9.039755e-01
2.867270042396376e-08	9.037556e-01
2.868784833042000e-08	9.035345e-01
2.870299623687624e-08	9.033121e-01
2.871814414333249e-08	9.030886e-01
2.873329204978873e-08	9.028638e-01
