time	V(out_preamp)
1.350047389160157e-08	-3.639876e-02
1.351400101549626e-08	-3.643818e-02
1.352666703549106e-08	-3.647496e-02
1.355199907548065e-08	-3.654835e-02
1.355451817272424e-08	-3.655563e-02
1.355951983994665e-08	-3.657005e-02
1.356952317439146e-08	-3.659884e-02
1.365775258419473e-08	-3.685045e-02
1.367844519601772e-08	-3.690852e-02
1.369913780784071e-08	-3.696660e-02
1.371983041966370e-08	-3.702470e-02
1.374052303148669e-08	-3.708281e-02
1.376121564330968e-08	-3.714093e-02
1.378190825513267e-08	-3.719907e-02
1.380260086695566e-08	-3.725722e-02
1.380460153384462e-08	-3.726287e-02
1.383261087028994e-08	-3.734220e-02
1.384290001429035e-08	-3.737140e-02
1.385318915829075e-08	-3.740062e-02
1.386347830229115e-08	-3.742988e-02
1.387376744629155e-08	-3.745916e-02
1.388405659029196e-08	-3.748848e-02
1.389434573429236e-08	-3.751783e-02
1.390463487829276e-08	-3.754720e-02
1.391663887962813e-08	-3.758150e-02
1.392892869051816e-08	-3.761664e-02
1.394121850140818e-08	-3.765180e-02
1.395350831229821e-08	-3.768697e-02
1.396579812318824e-08	-3.772215e-02
1.397808793407826e-08	-3.775735e-02
1.399037774496829e-08	-3.779256e-02
1.400266755585832e-08	-3.782779e-02
1.400466822274091e-08	-3.783353e-02
1.400866955650611e-08	-3.784500e-02
1.401667222403650e-08	-3.786794e-02
1.402530367260987e-08	-3.789269e-02
1.403393512118324e-08	-3.791743e-02
1.404256656975661e-08	-3.794217e-02
1.405119801832997e-08	-3.796690e-02
1.405982946690334e-08	-3.799164e-02
1.406846091547671e-08	-3.801637e-02
1.407709236405008e-08	-3.804109e-02
1.410270090014733e-08	-3.811442e-02
1.410470156718906e-08	-3.812015e-02
1.410870290127253e-08	-3.813160e-02
1.411670556943947e-08	-3.815449e-02
1.412899538072165e-08	-3.818964e-02
1.414128519200383e-08	-3.822477e-02
1.415357500328602e-08	-3.825987e-02
1.416586481456820e-08	-3.829494e-02
1.417815462585038e-08	-3.832999e-02
1.419044443713257e-08	-3.836502e-02
1.420273424841475e-08	-3.840001e-02
1.420473491163722e-08	-3.840571e-02
1.420873623808215e-08	-3.841709e-02
1.421673889097201e-08	-3.843984e-02
1.422931451455963e-08	-3.847558e-02
1.424189013814725e-08	-3.851127e-02
1.425446576173487e-08	-3.854692e-02
1.426704138532250e-08	-3.858253e-02
1.427961700891012e-08	-3.861810e-02
1.429219263249774e-08	-3.865363e-02
1.430476825608536e-08	-3.868912e-02
1.431677278539476e-08	-3.872293e-02
1.432906282255937e-08	-3.875751e-02
1.434135285972398e-08	-3.879204e-02
1.435364289688860e-08	-3.882652e-02
1.436593293405321e-08	-3.886095e-02
1.437822297121782e-08	-3.889533e-02
1.439051300838243e-08	-3.892966e-02
1.440280304554704e-08	-3.896394e-02
1.440480160053351e-08	-3.896951e-02
1.440879871050645e-08	-3.898063e-02
1.441679293045232e-08	-3.900287e-02
1.450278359243284e-08	-3.924056e-02
1.450483494498166e-08	-3.924620e-02
1.450893765007930e-08	-3.925746e-02
1.451714306027458e-08	-3.927995e-02
1.452956320571784e-08	-3.931395e-02
1.454198335116110e-08	-3.934788e-02
1.455440349660436e-08	-3.938175e-02
1.456682364204762e-08	-3.941555e-02
1.457924378749088e-08	-3.944928e-02
1.459166393293414e-08	-3.948295e-02
1.460408407837740e-08	-3.951654e-02
1.460486828942981e-08	-3.951866e-02
1.460643671153463e-08	-3.952290e-02
1.461584724416356e-08	-3.954828e-02
1.462839462100212e-08	-3.958204e-02
1.465348937467925e-08	-3.964944e-02
1.465488496165389e-08	-3.965318e-02
1.465767613560316e-08	-3.966065e-02
1.466325848350170e-08	-3.967557e-02
1.468390629163719e-08	-3.973067e-02
1.470455409977269e-08	-3.978556e-02
1.472520190790818e-08	-3.984024e-02
1.474584971604368e-08	-3.989470e-02
1.476649752417917e-08	-3.994896e-02
1.478714533231467e-08	-4.000301e-02
1.480779314045016e-08	-4.005684e-02
1.503778135699074e-08	-4.064123e-02
1.505876458970572e-08	-4.069319e-02
1.515984688422646e-08	-4.094002e-02
1.518550785741487e-08	-4.100181e-02
1.521116883060329e-08	-4.106325e-02
1.523682980379171e-08	-4.112433e-02
1.526249077698012e-08	-4.118506e-02
1.528815175016854e-08	-4.124545e-02
1.531381272335696e-08	-4.130548e-02
1.533947369654538e-08	-4.136515e-02
1.545515171723908e-08	-4.163000e-02
1.547015671890630e-08	-4.166381e-02
1.555518506168723e-08	-4.185342e-02
1.556478826275425e-08	-4.187459e-02
1.560320106702234e-08	-4.195885e-02
1.560520173391130e-08	-4.196323e-02
1.560920306768923e-08	-4.197196e-02
1.563692659457910e-08	-4.203221e-02
1.566465012146897e-08	-4.209210e-02
1.569237364835885e-08	-4.215162e-02
1.572009717524872e-08	-4.221076e-02
1.574782070213859e-08	-4.226953e-02
1.577554422902846e-08	-4.232793e-02
1.580326775591834e-08	-4.238596e-02
1.581727242414321e-08	-4.241512e-02
1.582956223503334e-08	-4.244065e-02
1.584185204592347e-08	-4.246610e-02
1.585414185681360e-08	-4.249149e-02
1.586643166770372e-08	-4.251681e-02
1.587872147859385e-08	-4.254206e-02
1.589101128948398e-08	-4.256723e-02
1.590330110037411e-08	-4.259234e-02
1.590530176725575e-08	-4.259643e-02
1.590930310101904e-08	-4.260458e-02
1.593331110359878e-08	-4.265331e-02
1.594360024761380e-08	-4.267415e-02
1.595388939162881e-08	-4.269494e-02
1.596417853564383e-08	-4.271567e-02
1.597446767965885e-08	-4.273636e-02
1.598475682367387e-08	-4.275699e-02
1.599504596768889e-08	-4.277758e-02
1.600533511170390e-08	-4.279812e-02
1.601733911409155e-08	-4.282200e-02
1.610336779347855e-08	-4.299144e-02
1.610536845615205e-08	-4.299535e-02
1.610936978149905e-08	-4.300315e-02
1.612709017749069e-08	-4.303760e-02
1.614481057348232e-08	-4.307192e-02
1.616253096947396e-08	-4.310611e-02
1.618025136546559e-08	-4.314016e-02
1.619797176145723e-08	-4.317407e-02
1.621569215744886e-08	-4.320786e-02
1.623341255344050e-08	-4.324150e-02
1.630343690626479e-08	-4.337329e-02
1.630543514504835e-08	-4.337702e-02
1.640340954807793e-08	-4.355798e-02
1.640546848949650e-08	-4.356174e-02
1.640958637233365e-08	-4.356926e-02
1.641782213800794e-08	-4.358426e-02
1.643051983119270e-08	-4.360736e-02
1.644321752437746e-08	-4.363041e-02
1.645591521756222e-08	-4.365339e-02
1.646861291074697e-08	-4.367631e-02
