time	V(input_bode)	V(out)	V(out_fs)	V(out_preamp)
5.478834912989183e-09	2.821069e-03	4.000000e-08	5.029306e-02	-1.454802e-02
5.511097135699087e-09	2.823785e-03	4.000000e-08	5.103007e-02	-1.463124e-02
5.523448057100249e-09	2.826805e-03	4.000000e-08	5.131305e-02	-1.466302e-02
5.551850616872290e-09	2.836357e-03	4.000000e-08	5.196464e-02	-1.473610e-02
5.605819583944738e-09	2.856327e-03	4.000000e-08	5.320813e-02	-1.487539e-02
5.624547115395685e-09	2.862610e-03	4.000000e-08	5.364112e-02	-1.492389e-02
5.643274646846632e-09	2.868342e-03	4.000000e-08	5.407489e-02	-1.497236e-02
5.662002178297579e-09	2.873523e-03	4.000000e-08	5.450942e-02	-1.502082e-02
5.680729709748526e-09	2.878154e-03	4.000000e-08	5.494473e-02	-1.506925e-02
5.699457241199473e-09	2.882233e-03	4.000000e-08	5.538081e-02	-1.511766e-02
5.718184772650420e-09	2.885762e-03	4.000000e-08	5.581766e-02	-1.516604e-02
5.736912304101367e-09	2.888739e-03	4.000000e-08	5.625528e-02	-1.521440e-02
5.901967322440814e-09	2.895570e-03	4.000000e-08	6.014323e-02	-1.563440e-02
5.911570523507838e-09	2.896006e-03	4.000000e-08	6.037118e-02	-1.565838e-02
5.924374791597204e-09	2.898530e-03	4.000000e-08	6.067543e-02	-1.569034e-02
5.955985328442795e-09	2.911087e-03	4.000000e-08	6.142746e-02	-1.576930e-02
5.979993331110227e-09	2.924878e-03	4.000000e-08	6.200012e-02	-1.582962e-02
6.002000666888963e-09	2.939421e-03	4.000000e-08	6.252570e-02	-1.588515e-02
6.056018672891456e-09	2.974840e-03	4.000000e-08	6.382000e-02	-1.602327e-02
6.080026675561965e-09	2.989037e-03	4.000000e-08	6.439716e-02	-1.608539e-02
6.105235078359846e-09	3.002812e-03	4.000000e-08	6.500405e-02	-1.615087e-02
6.124441480496254e-09	3.012338e-03	4.000000e-08	6.546752e-02	-1.620104e-02
6.156052017327298e-09	3.026455e-03	4.000000e-08	6.623150e-02	-1.628385e-02
6.180060019923967e-09	3.035769e-03	4.000000e-08	6.681331e-02	-1.634696e-02
6.205268422798150e-09	3.044484e-03	4.000000e-08	6.742509e-02	-1.641331e-02
6.250083360978599e-09	3.057081e-03	4.000000e-08	6.851606e-02	-1.653138e-02
6.264659648332726e-09	3.060431e-03	4.000000e-08	6.887179e-02	-1.656978e-02
6.279235935686852e-09	3.063467e-03	4.000000e-08	6.922790e-02	-1.660814e-02
6.293812223040979e-09	3.066189e-03	4.000000e-08	6.958442e-02	-1.664644e-02
6.308388510395105e-09	3.068598e-03	4.000000e-08	6.994133e-02	-1.668470e-02
6.322964797749232e-09	3.070694e-03	4.000000e-08	7.029864e-02	-1.672291e-02
6.337541085103358e-09	3.072476e-03	4.000000e-08	7.065634e-02	-1.676106e-02
6.352117372457485e-09	3.073944e-03	4.000000e-08	7.101443e-02	-1.679917e-02
6.356118699430247e-09	3.074305e-03	6.666003e-02	7.111284e-02	-1.680961e-02
6.364121353375770e-09	3.074965e-03	2.666400e-01	7.130974e-02	-1.683046e-02
6.380126661266817e-09	3.075988e-03	3.999600e-01	7.170389e-02	-1.687208e-02
6.452150716905636e-09	3.077014e-03	3.999600e-01	7.348272e-02	-1.705795e-02
6.480161196618739e-09	3.077454e-03	3.999600e-01	7.417721e-02	-1.712940e-02
6.502167389129711e-09	3.078718e-03	3.999600e-01	7.472350e-02	-1.718535e-02
6.511770982174204e-09	3.080392e-03	3.999600e-01	7.496226e-02	-1.720970e-02
6.524575772900193e-09	3.084792e-03	3.999600e-01	7.528088e-02	-1.724219e-02
6.552184061353785e-09	3.099961e-03	3.999600e-01	7.596843e-02	-1.731237e-02
6.559786147557592e-09	3.105010e-03	3.999600e-01	7.615807e-02	-1.733182e-02
6.567388233761401e-09	3.110083e-03	3.999600e-01	7.634778e-02	-1.735131e-02
6.574990319965208e-09	3.115178e-03	3.999600e-01	7.653756e-02	-1.737083e-02
6.582592406169015e-09	3.120296e-03	3.999600e-01	7.672742e-02	-1.739040e-02
6.590194492372823e-09	3.125438e-03	3.999600e-01	7.691736e-02	-1.740999e-02
6.597796578576631e-09	3.130602e-03	3.999600e-01	7.710736e-02	-1.742963e-02
6.605398664780439e-09	3.135790e-03	3.999600e-01	7.729744e-02	-1.744930e-02
6.652217405801935e-09	3.165056e-03	3.999600e-01	7.847051e-02	-1.757157e-02
6.664503630914296e-09	3.173624e-03	3.999600e-01	7.877903e-02	-1.760396e-02
6.680885264397443e-09	3.187708e-03	3.999600e-01	7.919078e-02	-1.764741e-02
6.705510404722639e-09	3.212767e-03	3.999600e-01	7.981030e-02	-1.771319e-02
6.725168364902415e-09	3.234896e-03	3.999600e-01	8.030586e-02	-1.776662e-02
6.753994293799352e-09	3.269148e-03	3.999600e-01	8.103342e-02	-1.784584e-02
6.778403903489097e-09	3.297666e-03	3.999600e-01	8.165098e-02	-1.791436e-02
6.805057092152986e-09	3.327422e-03	3.999600e-01	8.232629e-02	-1.799006e-02
6.821795110225954e-09	3.345004e-03	3.999600e-01	8.275129e-02	-1.803835e-02
6.856747566184357e-09	3.379036e-03	3.999600e-01	8.364028e-02	-1.814021e-02
6.883528395101106e-09	3.402503e-03	3.999600e-01	8.432339e-02	-1.821943e-02
6.905871544111208e-09	3.420626e-03	3.999600e-01	8.489419e-02	-1.828596e-02
6.927296207244607e-09	3.436527e-03	3.999600e-01	8.544290e-02	-1.835034e-02
6.955174060897502e-09	3.455485e-03	3.999600e-01	8.615798e-02	-1.843449e-02
6.972313791404221e-09	3.466057e-03	3.999600e-01	8.659875e-02	-1.848656e-02
7.006904706172248e-09	3.485226e-03	3.999600e-01	8.748995e-02	-1.859203e-02
7.109486175528197e-09	3.518806e-03	3.999600e-01	9.015398e-02	-1.891338e-02
7.212067644884146e-09	3.540141e-03	3.999600e-01	9.283839e-02	-1.922688e-02
7.314649114240095e-09	3.549229e-03	3.999600e-01	9.554318e-02	-1.953251e-02
7.417230583596043e-09	3.546071e-03	3.999600e-01	9.826835e-02	-1.983028e-02
7.519812052951994e-09	3.530667e-03	3.999600e-01	1.010139e-01	-2.012019e-02
7.622393522307941e-09	3.503017e-03	3.999600e-01	1.037798e-01	-2.040223e-02
7.724974991663891e-09	3.463121e-03	3.999600e-01	1.065661e-01	-2.067642e-02
7.752584194731576e-09	3.453226e-03	3.999600e-01	1.073165e-01	-2.074667e-02
7.764588196065327e-09	3.449266e-03	3.999600e-01	1.076430e-01	-2.077683e-02
7.780593531176995e-09	3.444799e-03	3.999600e-01	1.080787e-01	-2.081678e-02
7.802600866955652e-09	3.439694e-03	3.999600e-01	1.086779e-01	-2.087145e-02
7.812204068022653e-09	3.438675e-03	3.999600e-01	1.089396e-01	-2.089510e-02
7.825008336111987e-09	3.439500e-03	3.999600e-01	1.092886e-01	-2.092658e-02
7.852617539179727e-09	3.447001e-03	3.999600e-01	1.100414e-01	-2.099440e-02
7.864621540514153e-09	3.452548e-03	3.999600e-01	1.103690e-01	-2.102394e-02
7.880626875626721e-09	3.461940e-03	3.999600e-01	1.108059e-01	-2.106347e-02
7.902634211403802e-09	3.477412e-03	3.999600e-01	1.114068e-01	-2.111802e-02
7.912237412471344e-09	3.485346e-03	3.999600e-01	1.116692e-01	-2.114203e-02
7.925041680561398e-09	3.497415e-03	3.999600e-01	1.120192e-01	-2.117429e-02
7.952650883627877e-09	3.527342e-03	3.999600e-01	1.127740e-01	-2.124437e-02
8.002667555851952e-09	3.583682e-03	3.999600e-01	1.141432e-01	-2.137489e-02
8.025075024979307e-09	3.607365e-03	3.999600e-01	1.147573e-01	-2.143484e-02
8.052684228076027e-09	3.634694e-03	3.999600e-01	1.155145e-01	-2.150946e-02
8.064688229783041e-09	3.646853e-03	3.999600e-01	1.158440e-01	-2.154235e-02
8.080693565392394e-09	3.664291e-03	3.999600e-01	1.162837e-01	-2.158658e-02
8.102700900300100e-09	3.689836e-03	3.999600e-01	1.168884e-01	-2.164781e-02
8.112304101665711e-09	3.701779e-03	3.999600e-01	1.171525e-01	-2.167492e-02
8.125108370153194e-09	3.718767e-03	3.999600e-01	1.175049e-01	-2.171143e-02
8.152717572524175e-09	3.758188e-03	3.999600e-01	1.182651e-01	-2.179090e-02
8.180726888068407e-09	3.798489e-03	3.999600e-01	1.190375e-01	-2.187372e-02
8.202734244748250e-09	3.829108e-03	3.999600e-01	1.196450e-01	-2.193965e-02
8.225141697183635e-09	3.858606e-03	3.999600e-01	1.202644e-01	-2.200819e-02
8.256752322411677e-09	3.897348e-03	3.999600e-01	1.211394e-01	-2.210614e-02
8.280760755047794e-09	3.924232e-03	3.999600e-01	1.218052e-01	-2.218190e-02
8.305968713547883e-09	3.950491e-03	3.999600e-01	1.225051e-01	-2.226214e-02
8.325175459656777e-09	3.968922e-03	3.999600e-01	1.230394e-01	-2.232403e-02
